iter	Logloss
0	0.6870624489
1	0.6815860697
2	0.6765943995
3	0.6714420148
4	0.666297724
5	0.6606508572
6	0.6562615928
7	0.6510598077
8	0.6454714288
9	0.6401064468
10	0.6346926912
11	0.6305905384
12	0.6252003541
13	0.6200307935
14	0.6149360629
15	0.6096738302
16	0.6049248367
17	0.599726428
18	0.5951048123
19	0.5903760732
20	0.5853645114
21	0.5812854616
22	0.5767101875
23	0.5722848157
24	0.5678428431
25	0.5635327671
26	0.5594995814
27	0.5553733477
28	0.5506649574
29	0.5471169608
30	0.5424188958
31	0.537966218
32	0.5340577567
33	0.5302128392
34	0.5262002129
35	0.5219288626
36	0.5177701368
37	0.5136308493
38	0.5094643183
39	0.5054444893
40	0.5015232501
41	0.4975295299
42	0.4934107255
43	0.4897679854
44	0.4863190212
45	0.4827021904
46	0.4794445208
47	0.4758094569
48	0.4723961206
49	0.4688330149
50	0.4652701751
51	0.4614874537
52	0.4580638756
53	0.4547883187
54	0.4512302489
55	0.4477496943
56	0.444604239
57	0.4410299809
58	0.4376644554
59	0.4344180531
60	0.4312471482
61	0.4280071566
62	0.4247083703
63	0.4211068415
64	0.4179448715
65	0.4149958691
66	0.4119965254
67	0.4091423088
68	0.4058902624
69	0.4030710364
70	0.4001276018
71	0.3974857828
72	0.394043872
73	0.3907452455
74	0.3882611273
75	0.3854822055
76	0.3826812663
77	0.3797284768
78	0.3767018236
79	0.374058376
80	0.3725167251
81	0.369735706
82	0.3668956865
83	0.3644289836
84	0.3621980443
85	0.3597341583
86	0.3569767455
87	0.3542430155
88	0.3517524322
89	0.3493608105
90	0.3469388727
91	0.3445262981
92	0.3420264678
93	0.3392926893
94	0.337070601
95	0.3348666168
96	0.3326627389
97	0.3305650091
98	0.3279540791
99	0.325909328
100	0.3236301204
101	0.3212842859
102	0.3197663308
103	0.3179338473
104	0.3159077325
105	0.3136404864
106	0.311790187
107	0.3094676589
108	0.3070469079
109	0.3051695182
110	0.3030910597
111	0.3009737389
112	0.2989798306
113	0.2970344631
114	0.2948304516
115	0.2928521283
116	0.2908146696
117	0.2889148619
118	0.2868668427
119	0.2848965797
120	0.2831413839
121	0.2811445636
122	0.2793973273
123	0.2776819014
124	0.2761203498
125	0.2745040757
126	0.2726749848
127	0.2709441056
128	0.2693459239
129	0.2676197384
130	0.2658163416
131	0.2644081088
132	0.2628292158
133	0.2610839101
134	0.2594233814
135	0.2576016463
136	0.255780065
137	0.25423042
138	0.2524337184
139	0.2510511426
140	0.2494402942
141	0.2479834673
142	0.2467042026
143	0.2451646171
144	0.2434307545
145	0.24207692
146	0.2403770443
147	0.2389992017
148	0.2374146374
149	0.2356400554
150	0.2338904403
151	0.232443728
152	0.2309176665
153	0.2295788215
154	0.2281163816
155	0.226594433
156	0.2248403363
157	0.2237219272
158	0.2224856854
159	0.2211949305
160	0.2198803928
161	0.2185133832
162	0.2170821138
163	0.2158981797
164	0.2146375667
165	0.2133713741
166	0.2121370872
167	0.2109910746
168	0.2096182776
169	0.2084104142
170	0.2072415635
171	0.2059917067
172	0.204985411
173	0.203659923
174	0.202436503
175	0.20138915
176	0.2002658476
177	0.1992532074
178	0.1983554519
179	0.1971904008
180	0.196066216
181	0.1950273833
182	0.1937078897
183	0.1925736589
184	0.1913834707
185	0.1904820924
186	0.1896512991
187	0.1886308624
188	0.1876372163
189	0.186729832
190	0.1855729592
191	0.1845043038
192	0.1834757605
193	0.1824119987
194	0.1814074944
195	0.1804356662
196	0.1794227918
197	0.1783408161
198	0.1775315718
199	0.1765538953
200	0.1756291132
201	0.1747246016
202	0.1738102895
203	0.1729788187
204	0.1720529797
205	0.1712147766
206	0.1705067867
207	0.1695527872
208	0.168639777
209	0.1678015377
210	0.1669060581
211	0.166002911
212	0.1651272354
213	0.1642532169
214	0.1634564436
215	0.1625983225
216	0.1618190257
217	0.1609475178
218	0.1601055307
219	0.1593283024
220	0.158561707
221	0.1577506265
222	0.1569399427
223	0.1561307303
224	0.1554086843
225	0.1544982707
226	0.15376487
227	0.1530810883
228	0.1522807405
229	0.1515368181
230	0.1507453679
231	0.1499756279
232	0.149163889
233	0.1484161532
234	0.1476512461
235	0.1468435122
236	0.146129416
237	0.1453467721
238	0.1446546666
239	0.1440175124
240	0.1433657264
241	0.1425757929
242	0.1419836222
243	0.1412965594
244	0.1405868751
245	0.1398165915
246	0.1391607083
247	0.1385757505
248	0.1379399937
249	0.1372614336
250	0.1365107634
251	0.1358554416
252	0.1352223792
253	0.1345763466
254	0.1339570947
255	0.1333341037
256	0.1327187764
257	0.1320759273
258	0.131423296
259	0.1306918147
260	0.1300568105
261	0.129492152
262	0.1288735614
263	0.1283346237
264	0.1276222939
265	0.1270238501
266	0.126344441
267	0.125808805
268	0.1252667739
269	0.1247244509
270	0.1241899718
271	0.1235745959
272	0.1230246788
273	0.1225066136
274	0.1219667373
275	0.1214335752
276	0.1209252371
277	0.1204141727
278	0.1197761624
279	0.1191919344
280	0.1186385813
281	0.1180251508
282	0.117509419
283	0.1169476113
284	0.1162957958
285	0.1157798248
286	0.1152459675
287	0.1147072092
288	0.1140879285
289	0.1134374646
290	0.1129687586
291	0.1124642721
292	0.1120001239
293	0.1115583199
294	0.1109969076
295	0.1105302409
296	0.110172387
297	0.1096439882
298	0.1091591274
299	0.1086680599
300	0.1082524162
301	0.1076484138
302	0.1071726824
303	0.1066718616
304	0.1062529431
305	0.1057786607
306	0.1053170854
307	0.1047378666
308	0.1042747402
309	0.1038211404
310	0.1033123429
311	0.1027410504
312	0.1023039148
313	0.1018728469
314	0.1015259732
315	0.1011022546
316	0.1006009687
317	0.1001958772
318	0.09969115396
319	0.09931831455
320	0.09890815452
321	0.0985171853
322	0.09818047727
323	0.09781110598
324	0.09744143478
325	0.09703683485
326	0.09663252864
327	0.09626405866
328	0.09581181305
329	0.09548361825
330	0.09514023515
331	0.09476589673
332	0.09440253675
333	0.09401908517
334	0.09349004286
